weather_event,"Burlington, VT,","Binghamton, NY,","Charleston, WV,","Albany, NY,","Nashville, TN,","Shreveport, LA,","Great Falls, MT,","Pocatello, ID,","NWS Phoenix,","Gray - Portland, ME,","Philadelphia/Mt Holly,","NWS Wilmington, NC,","Charleston, SC,","Newport/Morehead City, NC"
wind,0.022913956382146952,0.0019307720906962264,0.0,0.0,0.010057758363626776,0.005653729042087645,0.046209812037329684,0.03080654135821979,0,0,0.0,0.0,0.0,0.005814993125502896
microburst,0.020706825925543276,0.0,0.0,0.0,0.003029656513894481,0.0,0.0,0.027839177077674845,0,0,0.1391958853883742,0.0,0.0,0.0
ice,0.016081902058308374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0032649499145223377
storm,0.0,0.054283706932884916,0.0,0.02244497643409811,0.023564511232050403,0.0013822151066675429,0.0,0.01882884134193786,0,0,0.0,0.0,0.0,0.005686562821390628
cold,0.0,0.004290933261691223,0.0,0.0,0.0018626904969131185,0.0,0.0,0.0,0,0,0.0,0.04401271545563283,0.0,0.0
snowstorm,0.0,0.0,0.0,0.02577364435834852,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.016324749572611687
snow,0.0,0.0,0.0,0.008296443499969325,0.015148282569472407,0.004087318004878852,0.0,0.0,0,0,0.0,0.0,0.0,0.018917561604795827
hail,0.0,0.0,0.0,0.0,0.0,0.009523214432570863,0.0,0.0,0,0,0.0,0.0,0.0,0.01305979965808935
waterspout,0.0,0.0,0.0,0.0,0.0,0.003174404810856955,0.0,0.0,0,0,0.0,0.0,0.0,0.006529899829044675
rain,0.0,0.0,0.0,0.0,0.0,0.002512960915085072,0.0,0.034232112021047756,0,0,0.0,0.0,0.0,0.0025846393304482366
cyclon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.004427948539622917
tornad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.004427948539622917
downburst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.008855897079245834
hailstorm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.004427948539622917
tornadocan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.004427948539622917
widespread,0.016081902058308374,0.0,0.0,0.0,0.0,0.00634880962171391,0.0,0.0,0,0,0.0,0.0,0.0,0.0
sever,0.05956475967163725,0.080304578498809,0.0,0.0,0.039840170918738885,0.0100778409512022,0.0,0.0,0,0,0.0,0.0,0.0,0.01727549357686507
tornado,0.0036515103494135473,0.006153659502493582,0.027614547017439952,0.00292604471707973,0.04701485151215895,0.0497332135518005,0.0,0.009818505606200872,0,0,0.0,0.012623792922258263,0.0,0.01705059278929178
rainfal,0.008509251381662464,0.00860406198201525,0.0,0.0,0.0012450053412105901,0.0016796401585337,0.0,0.0,0,0,0.0,0.0,0.11440215746457312,0.0
flood,0.007002461656092592,0.025961772880944957,0.0,0.02244497643409811,0.016392703465774195,0.0013822151066675429,0.0,0.0,0,0,0.0,0.0,0.0,0.005686562821390628
thunderstorm,0.0,0.0028680206606717497,0.0,0.0,0.006225026706052951,0.0016796401585337,0.0,0.04576086298582925,0,0,0.0,0.0,0.0,0.008637746788432535
outbreak,0.0,0.0057360413213434994,0.0,0.0,0.03112513353026476,0.0067185606341348,0.0,0.0,0,0,0.0,0.029417697633747374,0.0,0.013820394861492055
flash,0.0,0.01287279978507367,0.0,0.040806491150917855,0.014901523975304948,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
snowfal,0.0,0.05880907698306983,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
winter,0.0,0.010468771324473828,0.0,0.0,0.0,0.006130977007318277,0.0,0.027839177077674845,0,0,0.0,0.0,0.0,0.004203902578843517
heat,0.0,0.007351134622883729,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
hurrican,0.0,0.0,0.0,0.013637343273922624,0.003735016023631771,0.0050389204756011,0.0,0.0,0,0,0.0,0.029417697633747374,0.0,0.043188733942162674
tropic,0.0,0.0,0.0,0.010201622787729464,0.003725380993826237,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.015507835982689419
freez,0.0,0.0,0.0,0.01288682217917426,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0032649499145223377
blizzard,0.0,0.0,0.0,0.03495440171675839,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
gustnado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.004427948539622917
